[2025-07-14 14:55:04,444: INFO: main: Welcome to log]
[2025-07-14 14:55:42,332: INFO: main: Welcome to log]
[2025-07-14 14:56:18,704: INFO: main: Welcome to log]
[2025-07-15 14:37:53,606: INFO: comman: yaml file: config\config.yaml loaded successfully]
[2025-07-15 14:37:53,631: INFO: comman: yaml file: params.yaml loaded successfully]
[2025-07-15 14:37:53,635: INFO: comman: created directory at: artifacts]
[2025-07-15 14:37:53,639: INFO: comman: created directory at: artifacts/data_ingestion]
[2025-07-15 14:37:53,643: INFO: 3172177572: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-07-15 14:38:02,515: INFO: 3172177572: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-07-15 14:58:20,955: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2025-07-15 14:58:20,972: INFO: comman: yaml file: config\config.yaml loaded successfully]
[2025-07-15 14:58:20,983: INFO: comman: yaml file: params.yaml loaded successfully]
[2025-07-15 14:58:20,984: INFO: comman: created directory at: artifacts]
[2025-07-15 14:58:20,985: INFO: comman: created directory at: artifacts/data_ingestion]
[2025-07-15 14:58:20,986: INFO: data_ingestion_01: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-07-15 14:58:43,220: INFO: data_ingestion_01: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-07-15 14:58:44,538: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
[2025-07-15 15:19:32,483: INFO: comman: yaml file: config\config.yaml loaded successfully]
[2025-07-15 15:19:32,508: INFO: comman: yaml file: params.yaml loaded successfully]
[2025-07-15 15:19:32,512: INFO: comman: created directory at: artifacts]
[2025-07-15 15:19:32,514: INFO: comman: created directory at: artifacts/prepare_base_model]
[2025-07-15 15:28:22,184: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2025-07-15 15:28:22,189: INFO: comman: yaml file: config\config.yaml loaded successfully]
[2025-07-15 15:28:22,192: INFO: comman: yaml file: params.yaml loaded successfully]
[2025-07-15 15:28:22,193: INFO: comman: created directory at: artifacts]
[2025-07-15 15:28:22,194: INFO: comman: created directory at: artifacts/data_ingestion]
[2025-07-15 15:28:22,195: INFO: data_ingestion_01: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-07-15 15:28:32,204: INFO: data_ingestion_01: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-07-15 15:28:33,234: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
[2025-07-15 15:28:33,236: INFO: main: *******************]
[2025-07-15 15:28:33,237: INFO: main: >>>>>> stage Prepare base model started <<<<<<]
[2025-07-15 15:28:33,241: INFO: comman: yaml file: config\config.yaml loaded successfully]
[2025-07-15 15:28:33,246: INFO: comman: yaml file: params.yaml loaded successfully]
[2025-07-15 15:28:33,248: INFO: comman: created directory at: artifacts]
[2025-07-15 15:28:33,249: INFO: comman: created directory at: artifacts/prepare_base_model]
[2025-07-15 15:28:34,888: INFO: main: >>>>>> stage Prepare base model completed <<<<<<

x==========x]
